59	3	1
202	3	1
318	3	1
281	3	1
727	3	1
625	3	1
214	3	1
756	3	1
609	3	1
551	3	1
62	3	1
359	3	1
674	3	1
220	3	1
496	3	1
56	3	1
60	3	1
111	3	1
520	3	1
495	3	1
721	3	1
113	3	1
21	3	1
411	3	1
523	3	1
99	3	1
602	3	1
307	3	1
736	3	1
386	3	1
720	3	1
858	3	1
459	3	1
905	3	1
393	3	1
693	3	1
130	3	1
798	3	1
102	3	1
377	3	1
38	3	2
465	3	2
688	3	2
452	3	2
700	3	2
203	3	2
654	3	2
231	3	2
677	3	2
352	3	2
711	3	2
158	3	2
605	3	2
146	3	2
272	3	2
570	3	2
87	3	2
123	3	2
526	3	2
703	3	2
172	3	2
27	3	2
610	3	2
217	3	2
777	3	2
856	3	2
588	3	2
870	3	2
230	3	2
776	3	2
278	3	2
809	3	2
384	3	2
823	3	2
88	3	2
845	3	2
811	3	2
691	3	2
107	3	2
555	3	2
340	3	3
345	3	3
722	3	3
724	3	3
697	3	3
413	3	3
10	3	3
486	3	3
587	3	3
140	3	3
503	3	3
836	3	3
521	3	3
851	3	3
233	3	3
314	3	3
515	3	3
1244	3	3
1245	3	3
1248	3	3
1249	3	3
1250	3	3
1252	3	3
1254	3	3
1255	3	3
1256	3	3
1257	3	3
1258	3	3
1260	3	3
1261	3	3
1263	3	3
1264	3	3
675	3	3
949	3	3
392	3	3
857	3	3
633	3	3
832	3	3
775	3	3
497	3	3
2	3	4
223	3	4
532	3	4
66	3	4
336	3	4
24	3	5
234	3	5
556	3	5
789	3	5
530	3	5
707	3	6
600	3	6
243	3	6
829	3	6
434	3	6
816	3	7
351	3	7
501	3	7
28	3	7
774	3	7
